"subj_idx","stim","response","rt","condition","amygdala_pe"
2030,0,0,3.011,-1,-0.1890404306
2030,0.5,1,1.7124,-1,0.5694089984
2030,1.5,1,1.8778,1,-0.750662651
2030,0,1,1.1341,-1,-0.4300658131
2030,1.5,1,3.3822,-1,0.3843503312
2030,-0.5,0,1.2457,-1,-0.169012971
2030,0.5,1,1.163,1,-0.1062085111
2030,-1.5,0,1.2629,1,-0.1616248157
2030,1,1,0.9346,1,-0.1614541204
2030,1,1,1.6694,-1,-0.04176588949
2030,-1,0,1.0311,-1,-1.288503505
2030,5,1,1.478,1,0.07166688998
2030,-5,0,0.7071,-1,0.15733199
2030,-0.5,0,0.992,1,-0.1681781058
2030,-0.5,0,0.8593,-1,-0.4294475279
2030,-1.5,0,1.2981,-1,0.1020115118
2030,0.5,1,1.012,1,-0.4355929127
2030,1.5,0,3.5279,-1,0.0997918948
2030,0.5,1,1.9898,-1,0.617854067
2030,0,1,2.5521,1,0.1620616104
2030,-0.5,0,1.5285,-1,-0.1387368576
2030,0,0,2.8001,1,0.09571524849
2030,-1.5,0,0.9902,-1,0.2108387178
2030,1.5,1,1.2299,-1,-0.4602379919
2030,-0.5,1,1.9246,1,-1.170614471
2030,-0.5,0,2.0639,-1,-0.1755952533
2030,0,1,0.9196,-1,0.6966660045
2030,-1.5,0,0.9259,1,0.3050315192
2030,-1,0,1.6708,-1,-0.1145934026
2030,0.5,1,3.3291,-1,0.4393702888
2030,0,1,1.6525,1,0.3267771385
2030,0,0,2.4569,-1,-0.9348611414
2030,-5,0,1.6335,-1,0.09198540185
2030,0.5,1,1.1786,-1,0.09432007274
2030,5,1,1.3348,-1,1.601671991
2030,-0.5,1,1.1924,1,-1.308894719
2030,-1.5,0,1.2617,1,0.9366632946
2030,0,1,1.6628,1,1.365214861
2030,-0.5,0,1.9799,-1,0.7202919314
2030,1.5,1,1.441,-1,0.9073127116
2030,1.5,1,0.9321,1,0.894246434
2030,0.5,1,1.5427,-1,0.07943330954
2030,1,1,1.6401,-1,0.1249372599
2030,1,1,0.8956,1,0.4752240556
2030,1,1,1.1584,1,0.1826228942
2030,0.5,1,2.0458,1,-0.8897373964
2030,0.5,1,1.0244,1,-0.2076057969
2030,0,0,3.4012,-1,0.1519877574
2030,-0.5,0,1.4777,1,0.01785716493
2030,-5,0,1.4008,1,0.3582493611
2030,1.5,1,1.0391,1,0.1164185212
2030,5,1,1.0594,1,0.002970984209
2030,0,1,1.3987,1,0.02955140402
2030,1,1,1.1408,-1,-0.5037611767
2030,-0.5,0,1.0881,-1,-0.6854142865
2030,-0.5,0,1.1294,-1,-0.03090306137
2030,0,1,1.0643,-1,-0.0785407099
2030,0.5,1,1.2156,-1,-0.1637877752
2030,0,0,1.268,1,-0.7028266574
2030,0.5,1,1.7179,1,-0.3556228316
2030,0,1,1.8249,1,-0.2653226273
2030,-0.5,0,0.8896,1,-0.7937255494
2030,-1,0,0.9835,-1,0.3040622682
2030,0,1,0.9296,1,0.1259117558
2030,0.5,1,1.052,-1,-0.01117688592
2030,-1,0,1.5065,1,-0.1845840872
2030,-1,0,1.0859,1,0.296072803
2030,0.5,1,2.1637,1,-0.08011007288
2030,-1,0,1.4689,-1,0.1219716456
2030,5,1,1.339,-1,-1.210112006
2030,1,1,1.3185,-1,0.2934115824
2030,0,1,2.4051,-1,-0.2794724157
2030,-1,0,0.9303,-1,-0.05495866111
2030,0.5,1,2.4415,-1,0.1703560479
2030,-0.5,0,2.382,1,0.4922479775
2030,-0.5,0,0.9128,1,-0.3636113406
2030,-0.5,0,2.9378,-1,-0.525653165
2030,-0.5,0,1.3143,1,-0.3114048842
2030,0.5,1,1.2237,1,-0.2977084413
2030,0,1,1.1121,1,0.4323705836
2030,-1,0,1.0829,1,0.2224996703
2030,-0.5,0,2.9519,-1,-0.1589637874
2030,0.5,1,3.0453,-1,-0.2831569271
2030,1.5,1,1.5192,1,0.04642286541
2030,0.5,1,1.7078,1,0.03446125817
2030,1,1,2.7608,1,-0.1537932552
2030,1,1,1.5202,1,0.2418688882
2030,-0.5,0,1.248,1,-0.4889321022
2030,-1,0,0.8644,1,-1.220055267
2030,0,0,1.8847,1,-0.5553829983
2030,0,1,1.586,1,0.1154349802
2030,1,1,1.139,-1,0.1382104722
2031,0,1,1.132,-1,0.3087086911
2031,1,1,1.0106,-1,0.2484439358
2031,1,1,0.9951,1,0.2971244605
2031,1.5,1,0.9296,-1,0.2682541285
2031,1,1,0.8187,-1,0.09664973991
2031,1,1,0.7401,-1,0.2316998997
2031,0,1,1.0462,1,-0.03521136856
2031,-1,0,0.8473,-1,0.2307558339
2031,1,1,0.7684,-1,1.113005399
2031,-0.5,1,0.9394,-1,0.5716053083
2031,0.5,1,0.7774,-1,0.1348971107
2031,-0.5,1,0.9181,-1,0.1022574814
2031,1,1,0.7365,1,0.05549803816
2031,-0.5,0,0.9536,1,0.7574081666
2031,0.5,1,1.6104,-1,-0.06604500048
2031,-1.5,0,1.1947,-1,0.246364662
2031,1,1,0.7559,1,0.2355469164
2031,0,1,0.8769,-1,-0.06571221134
2031,-5,0,1.0916,1,0.2916593594
2031,1,1,1.1128,1,0.6552658436
2031,-0.5,0,1.0716,1,-0.6221716934
2031,0,0,1.2775,-1,-0.1759250416
2031,0.5,1,0.9371,1,0.5379571934
2031,0.5,1,1.1144,1,0.9315691833
2031,1.5,1,1.0787,-1,-0.009477892268
2031,0,0,0.8293,1,0.3690920552
2031,0.5,1,1.1442,1,0.0427990997
2031,-1,0,0.9291,-1,0.1762226991
2031,-1.5,0,0.8394,1,0.8909146945
2031,1.5,1,0.6806,1,0.8705801795
2031,5,1,0.9023,-1,-0.3154002103
2031,0,1,0.7819,-1,0.09383646731
2031,0.5,1,0.7347,-1,0.4399274263
2031,-1,0,1.1063,1,0.7345288033
2031,-1,1,1.9625,1,0.9103228615
2031,-0.5,1,1.3065,-1,0.3573619423
2031,0.5,1,0.9464,1,0.6257279179
2031,-0.5,1,1.2067,-1,0.6279499733
2031,0.5,1,1.1001,-1,-0.2999614373
2031,-0.5,0,1.8645,1,0.4543388977
2031,0,1,1.5721,-1,-0.150302537
2031,0,0,1.4551,1,-0.4107654595
2031,-1,0,0.8666,-1,0.332597298
2031,0.5,1,0.7817,1,0.5648996535
2031,0.5,1,0.7851,1,0.2557358389
2031,0.5,1,1.1028,-1,0.4086403675
2031,-1,0,0.9191,1,-0.1774604222
2031,0.5,1,1.7363,-1,0.4351279498
2031,-0.5,0,2.0326,1,0.3255371675
2031,0.5,1,0.891,1,0.4948973762
2031,-1,0,1.4959,1,-0.068684096
2031,1,1,0.5678,1,0.7615481705
2031,-1.5,0,1.0042,1,0.1190768867
2031,0,1,1.0427,-1,0.2271583985
2031,1,1,0.8418,-1,0.3866203434
2031,1,1,0.6676,1,-0.1682375837
2031,1.5,1,0.9589,-1,0.5729179317
2031,-0.5,0,1.6067,1,0.5091175935
2031,0,1,1.6664,1,1.475567571
2031,-0.5,1,2.2927,1,0.75273861
2031,0.5,1,0.8881,-1,-0.06093007296
2031,-0.5,0,1.094,-1,0.5517734077
2031,0.5,0,1.1299,-1,-0.3368226338
2031,0.5,1,1.9953,-1,0.4852959826
2031,-1,0,1.0133,-1,0.4199771186
2031,-0.5,0,0.6873,-1,0.3315665642
2031,1,1,0.9734,1,0.3389065911
2031,-1,1,1.034,1,0.3019122111
2031,0.5,1,1.4687,1,-0.2548691584
2031,-1,1,2.2191,1,-0.2607153444
2031,1,0,2.1659,-1,0.005012571845
2031,0.5,1,1.5388,1,-0.1626966678
2031,1,1,0.7196,1,0.004336304459
2031,1,1,1.1598,-1,-0.3319027628
2031,-0.5,1,0.8375,1,0.7301126635
2031,-5,0,0.8531,-1,0.5519157145
2031,1.5,1,0.9619,-1,0.306215573
2031,0.5,1,0.8008,-1,-0.1101554439
2031,0,1,0.6814,1,0.09470198062
2031,1.5,1,0.7642,-1,-0.23783914
2031,1.5,1,0.7091,-1,0.4115507162
2031,-0.5,0,1.9104,-1,-0.2980810654
2031,0,0,1.9626,-1,0.09233808978
2031,5,1,0.7033,1,0.1747239367
2031,0,1,1.7612,1,0.9325071827
2031,-1,0,0.9367,-1,0.3880662145
2031,1,1,1.4147,1,0.1648598906
2031,-1,0,1.3077,-1,-0.2541984289
2031,1,1,0.8427,-1,0.1154711148
2031,0,1,0.855,1,0.3618726005
2031,0,0,1.1976,1,0.3539801194
2031,0.5,1,1.235,-1,0.06076057293
2031,0.5,1,1.1879,-1,0.2873484844
2031,0,1,0.9164,-1,0.1725592713
2031,-1.5,0,0.8394,1,0.3532861486
2031,-1.5,0,0.7443,1,0.6755940017
2031,-1,0,1.0629,1,0.1751054484
2031,1.5,1,1.1105,1,0.7093299776
2031,0,0,2.2193,1,1.223856282
2031,0,1,2.0214,-1,0.774041367
2031,0.5,1,1.1835,1,-0.680106302
2031,-1,0,1.3027,-1,0.8084680488
2031,-0.5,0,1.5158,1,-0.1500698952
2031,-0.5,0,2.777,-1,1.2173332
2031,-5,0,0.9372,-1,0.2705269631
2031,1.5,1,0.8286,1,0.7227275008
2031,0.5,1,0.8943,1,0.1489323625
2031,0.5,1,1.0093,-1,0.7189782348
2031,-0.5,1,1.8996,1,0.4998017662
2031,0,0,2.4975,-1,0.4643137693
2031,-0.5,0,2.5441,-1,-0.1287109651
2031,0,1,1.0594,1,0.4293262636
2031,-0.5,0,1.3457,1,-0.2864016163
2031,-1.5,0,0.8042,-1,0.6548750387
2031,0,1,2.5708,1,-0.3112386437
2031,0.5,0,2.4145,1,0.9097056432
2031,-1,0,2.7458,1,1.078243997
2031,-1,0,1.7228,1,-0.579884401
2031,-0.5,1,1.2962,1,0.8240109996
2031,-1.5,0,0.9248,-1,0.3923995041
2031,1,1,0.8104,-1,-0.3784070158
2031,-0.5,1,0.7848,-1,-0.6324588372
2031,-1,0,1.0916,-1,0.1336076677
2031,5,1,1.042,-1,0.2444013408
2031,-0.5,1,1.0772,-1,-0.1633669642
2031,-1.5,0,2.1717,-1,0.3761086151
2031,0,1,1.0933,1,0.933832166
2031,-0.5,0,2.4361,1,1.114279411
2031,0,1,1.2312,-1,-0.6458099369
2031,-1.5,0,1.0691,1,-0.3385740367
2031,1.5,1,1.0142,1,-0.0589535092
2031,0,1,1.702,1,-0.1178195422
2031,-5,0,1.0545,1,-0.5594977272
2031,-1.5,0,1.195,-1,0.3836812651
2031,1,1,1.162,-1,-0.2220696813
2031,0.5,1,0.8486,1,0.7729302064
2031,0,0,2.5025,-1,0.0628396078
2031,-0.5,0,2.4519,1,0.1579531936
2031,0,1,2.1806,1,0.1977709228
2031,-0.5,0,2.533,-1,1.145075481
2031,0,1,1.0105,-1,-0.1574959565
2031,1.5,1,0.7231,1,0.4848845172
2031,-1,0,1.7724,1,0.06095216566
2031,0,1,2.179,-1,-0.3985457801
2031,0.5,1,1.823,1,0.7928590891
2031,1,1,1.0653,1,1.163458653
2031,0,1,1.6879,1,0.8859694999
2031,-1,0,1.7387,-1,0.4429832481
2031,0.5,1,0.8483,-1,0.3506040214
2031,5,1,1.0134,1,0.4511276201
2031,-0.5,0,1.3604,-1,0.4586290149
2031,0,1,1.8059,-1,0.05334405954
2031,-0.5,0,3.2953,1,-0.07829363252
2031,-1,0,2.011,-1,0.5614097853
2031,0,1,1.5313,-1,0.6937972558
2031,0,1,1.3062,1,0.4598780366
2031,-0.5,1,1.8254,-1,0.5319491698
2031,-1.5,0,1.7009,1,-0.1446136374
2031,-1.5,0,1.0383,-1,0.571322777
2031,1.5,1,0.8466,1,0.4169664917
2032,-0.5,0,1.4445,1,0.4834243967
2032,1,1,2.1037,1,0.4698883693
2032,-0.5,0,2.7657,1,0.3758527432
2032,-5,0,0.6546,-1,-0.2172645431
2032,-0.5,0,1.3958,-1,-0.4627974231
2032,0,0,2.9235,-1,-0.6468129996
2032,5,1,0.8899,1,-0.411197905
2032,-1,0,0.6148,-1,-0.205398578
2032,1,1,2.5351,1,-0.1799356664
2032,0,1,2.4106,-1,-0.3043525035
2032,0.5,1,1.314,-1,-0.3100176285
2032,-1,0,1.2665,1,-0.1056034735
2032,-1.5,0,1.0114,-1,-0.3409686704
2032,1.5,1,1.3744,1,-0.2047897909
2032,0.5,0,2.0898,-1,-0.198926558
2032,1.5,1,1.1985,1,-0.2152780399
2032,-1.5,0,1.169,-1,-0.3651650194
2032,-1,0,1.3575,1,0.06584565491
2032,0,1,2.2806,1,0.06145349219
2032,0,0,2.1107,1,-0.4093619751
2032,-0.5,0,0.8847,-1,0.4300751772
2032,-0.5,0,1.9535,1,0.6168418762
2032,0.5,1,1.7444,1,1.032620658
2032,-1.5,0,0.9922,1,0.9339108546
2032,-1,0,1.5778,-1,0.1923947691
2032,0,1,3.4282,-1,0.1334678003
2032,0.5,1,2.8724,-1,-0.131811382
2032,-1.5,0,0.7679,1,-0.2552157948
2032,1,1,1.0328,1,-0.1528958616
2032,0,1,2.5015,1,-0.2828235699
2032,-1,0,1.7827,-1,-0.8473656903
2032,-0.5,0,3.4781,-1,-0.06604674041
2032,-1,0,3.7311,-1,-0.8347253626
2032,0.5,0,1.9422,1,-0.5584409003
2032,-0.5,0,1.0406,1,-0.4118762908
2032,0.5,1,3.2583,1,-0.8250937742
2032,1,1,1.1487,-1,-0.550502643
2032,0,0,1.0043,-1,-0.5865082794
2032,1,1,1.7747,-1,-0.214029109
2032,1,1,0.7816,-1,-0.6349541471
2032,0.5,1,1.8588,1,-1.409605045
2032,0,0,1.6681,1,-0.1698506456
2032,-0.5,0,1.6617,1,0.2856995545
2032,0,0,1.2331,1,0.2702497447
2032,1,1,2.3567,-1,-0.2297388622
2032,-0.5,0,0.9172,-1,-0.2285010129
2032,0,1,3.1804,1,-0.2971506573
2032,-0.5,0,1.6647,-1,-0.6756529916
2032,0.5,1,1.977,1,-0.8076746261
2032,1.5,1,1.5101,-1,-0.5523672394
2032,-0.5,0,1.154,1,-0.4736623935
2032,0,0,2.437,1,-0.3698970493
2032,0.5,1,1.9388,-1,-0.4630035754
2032,-5,0,1.0762,-1,-0.3529041996
2032,1,1,1.3983,-1,0.04922952586
2032,0.5,1,1.255,-1,0.1211905109
2032,5,1,1.138,1,-1.147129585
