"DLPFC_cope","DLPFC_cope_scaled"
-5843.851048,-0.4640963115
-14628.50402,-1.17795761
11437.30299,0.8657260616
-263.3055521,-0.08531424345
172.9949719,0.0305645141
-3635.929566,-0.5605006277
-1233.489818,-0.1674835256
-44390.06794,-3.759202969
-26752.78241,-2.112363265
-18967.93162,-1.086309098
-15855.04064,-1.88149104
-11743.86931,-1.621519839
-11230.87876,-1.283033178
-11653.5991,-1.488337375
-12996.55057,-1.137536599
-18180.07207,-1.749344536
-13058.95115,-1.466372653
25685.39058,3.740389223
4826.187189,0.7875156872
20722.27347,1.515764861
-3299.73511,-0.7015581483
-12815.33759,-1.2192487
3289.927835,0.111095393
-10845.63278,-0.8654908766
16753.44066,0.1934390736
-7543.807872,-1.613410657
16360.11041,0.8537313233
45263.10227,6.43224618
13051.18495,2.661129715
6945.967338,0.5082703964
19891.2735,1.246306243
-5900.714685,-2.319193672
27137.19709,1.305387836
-6384.714871,-1.630701659
-8056.84345,-1.24603522
8024.090345,-0.4646844405
-16153.9618,-2.780593035
-7234.584396,-2.06596129
-10842.27341,-2.595512322
-16479.81333,-2.962027617
11275.57989,4.063884632
-2923.034103,1.65026427
26909.27687,4.275761348
2604.715652,0.7526658973
-4374.225949,-0.1656489899
-10605.21121,-2.001909558
-4693.182347,-0.693318578
-35167.94201,-3.259529699
-24985.73052,-1.124549863
-5204.920672,0.04610612111
-662.6581253,-0.03727448717
6777.367084,-1.269027094
5115.118526,-0.7441560754
16774.02211,1.656262819
-10414.89805,-1.135699866
17355.74058,1.423339402
-10523.97045,-0.7275729729
-23384.64006,-1.587163863
-5237.314024,0.8517964226
5986.130909,0.8253652396
-3815.947604,-0.3187339397
28701.50791,2.588098566
-8217.240715,-0.9147918309
11570.85824,0.859172169
7218.639822,0.8738632578
13097.61541,1.126776916
3532.021852,0.1260118815
48419.5185,4.683085485
11350.56485,1.508328686
4859.786486,0.6589102667
22834.98828,1.753191828
1888.577752,-0.47285003
-3072.27273,-0.574873139
17425.51346,1.273163033
-5438.490514,-0.9639588111
-3067.836511,-0.4793373979
-5852.939124,-0.7586619286
1143.467602,-0.3276642292
-4641.542271,-0.6222500851
10993.80059,0.6053175309
713.9939246,-0.2100521082
11501.57913,0.7730876246
148.1021698,0.6322382865
-2741.697634,-0.4100671935
-7173.980852,-0.4390722796
16149.62836,1.130149397
19576.18669,1.323224476
-30196.80611,-2.624419436
-23827.16668,-2.280635494
-21628.67462,-1.907152094
-14955.491,-1.337860022
-9802.225281,-0.8156276122
-4738.708965,-0.306836204
3118.421565,0.7034167863
-7107.164893,-0.6682482776
-632.2568274,-0.08393663824
6471.323751,0.9002809202
-2296.250679,-0.1266730622
-1397.246731,-0.1149676616
-7250.33532,-0.7527498506
4872.911668,0.6961678279
3503.358356,0.342836417
-6559.801846,-0.9303107993
-3488.961321,-0.5146130574
3442.532204,0.08202460686
6830.662449,0.5971034361
5904.086133,0.6328725885
-1451.145911,0.05886836362
-5919.610605,-0.5585531662
8363.383104,0.6960268435
4968.147037,0.503269907
3235.857226,0.3000605998
-3516.831389,-0.211146318
11485.88537,1.140516151
2000.293275,0.2408148851
-2863.156721,-0.1417694696
-1752.736513,-0.09398976109
3942.571215,0.4645409452
-5911.18532,-0.6154625849
1727.63665,0.1598201055
4735.051845,0.5829651048
-1311.845182,-0.02423935489
-7167.283587,-0.7467426918
3210.121484,0.317479725
21.50884101,0.05696693911
192.2135179,-0.01704393495
-4173.983779,-0.3038666828
-10310.92716,-0.7685695144
-19981.34886,-2.153776799
-24498.04761,-2.719500919
-13317.50343,-1.292831038
-15975.30786,-1.646596021
-11362.72352,-1.130610248
1917.654887,0.1882059369
-8272.623238,-0.891387464
-13706.42548,-1.582692819
-3091.325054,-0.1019079929
-9575.528281,-0.923796711
-1682.414551,-0.1079175358
2334.208176,0.4020800549
-540.081936,-0.01179527112
-3929.841151,-0.3491506494
-3200.916717,-0.1217228306
-8928.213481,-1.343197562
-5205.567688,-0.6643450417
-2807.015844,-0.3154960043
-17921.17002,-2.22623886
-9818.260752,-0.7382830346
5666.808408,0.6021236312
-6645.706356,-0.7281552096
-11657.89207,-1.413254626
158.5602773,-0.03742155096
-10654.42369,-1.179370297
-5815.371743,-0.5242359021
1354.251998,0.01896845108
875.6710511,0.08552413646
-6064.942549,-0.7910480539
-11130.13342,-0.9069146319
-5721.915426,-0.5548439214
92.32327285,0.1650065273
-6681.238536,-0.5282336391
-2433.372756,-0.3332179767
1054.729487,0.2068392346
560.5733171,0.06244637406
-5984.941924,-0.6470303255
-6137.115142,-0.6401962303
-379.1004184,-0.001840312941
-27782.45988,-2.78050536
-24253.44087,-2.758893137
-23420.45184,-2.240112387
-25649.35503,-2.2676195
-8694.9113,-0.5959330991
1501.830305,0.3759902923
9943.530387,1.286406742
-8025.496881,-0.8612701198
1622.101623,0.09884252868
12380.1905,1.071759444
4285.444696,0.2619316946
186.498878,0.1576399883
-594.0251086,0.01014031118
1196.793579,-0.05685555419
-5435.497735,-0.5079925219
-9516.756233,-0.9123143987
8641.728828,0.6108105209
1423.378799,0.09119322274
-25724.78536,-1.773512973
8619.054783,2.700586118
-19882.19751,-3.063817168
-11835.17134,-2.237601875
-5235.854976,-1.364570237
-24163.72855,-2.453268891
-1889.167833,-0.5245487198
6953.351018,0.4644811624
3873.091183,0.09576363459
-3316.747597,-0.4192270752
8862.85903,1.005500806
120.2024676,0.09969573561
-10739.25403,-0.7961491907
-2454.713924,0.1040316762
-4903.491902,-0.2498697174
5220.768231,0.5156631475
12819.74194,1.276927425
-5089.899617,-0.1432267172
