"antInsula_cope","antInsula_cope_scaled"
-2132.568012,-0.1832450726
-27776.01438,-2.404977352
-6562.74755,-0.5657620233
-16491.02893,-1.535836323
-2523.448518,-0.2364223886
-14178.76619,-1.271493147
-12118.57411,-1.013611947
-2303.670112,-0.2264269308
96.72313797,0.03936503386
-9468.177278,-0.8064283688
-10013.7654,-0.8712480904
-8628.653009,-0.8316375112
-4351.381012,-0.3964524932
2986.157739,0.3062911138
9034.547233,0.7819004422
-5013.223037,-0.3940885333
4406.051156,0.3678459867
8712.734082,0.7849769507
6540.702287,0.4662480468
9494.303578,0.8300056727
25672.67819,2.323386049
13919.89882,1.162440225
-8755.638113,-0.9246542952
4526.335981,0.4134193399
6287.988919,0.4432161857
-5231.628769,-0.5721305529
12339.07663,1.066797078
8965.152078,0.7528717212
4834.131236,0.5053512234
1686.290712,0.131148003
-14945.91409,-1.296588842
200.0669463,0.06007865659
7932.712132,0.6658778809
-9789.930592,-0.7738580504
-4204.308465,-0.386467883
-11367.1099,-1.015770888
-1257.297716,-0.05055973736
-6175.092893,-0.4958358616
-5566.735061,-0.5089898612
-10117.97252,-0.8373331168
-3153.495508,-0.3376604601
-13392.39605,-1.20825342
-20997.1851,-1.793271341
1200.421079,0.04865552347
-1959.539996,-0.1246470023
221.9207431,0.03618774491
-3970.090505,-0.3553313658
7515.226975,0.6184166861
-1233.893175,-0.1392642132
7835.891985,0.7032667179
9422.536849,0.8446106954
-2313.713087,-0.1431283659
8434.733167,0.9487874063
-18739.29121,-1.758845827
-5264.77125,-0.5019342169
14972.77138,1.350464227
-9514.200064,-0.899040337
9017.028328,0.7738914305
13889.70994,1.248699234
7837.553069,0.6148361712
-6312.9356,-0.5664593397
102.7694049,0.04507193963
-13407.85236,-1.234862895
-11368.66828,-1.026834022
-2810.192119,-0.1923152393
-5378.213776,-0.5055624026
-946.3695355,-0.1100904948
7675.725637,0.6030426942
-843.8947823,-0.07504911057
6094.806951,0.5498774401
-10203.60609,-0.8712732426
-5911.517784,-0.5494126696
6475.389492,0.5966062602
-4780.932486,-0.4469733475
-1291.367483,-0.09845947551
14322.58361,1.270077019
18751.22187,1.722421368
-9251.999453,-0.7777837685
-4400.082936,-0.2918025163
5996.096284,0.5130440424
13408.31716,1.202392623
-10745.19151,-0.8532135458
-11223.62363,-0.8760550645
-12655.19381,-0.9705674019
-7409.635149,-0.5946732055
-11438.21391,-0.9238238933
-6084.572047,-0.5014787115
1202.095476,0.09450412157
-5494.973183,-0.4022366956
-1418.630774,-0.07210094285
-2970.068235,-0.2627833415
-8691.947319,-0.7122605968
-6788.422328,-0.5598655056
-3404.520821,-0.2445589783
-1555.704946,-0.1463622966
-220.0024231,-0.04530042105
-12674.20627,-1.034664927
-10307.94222,-0.8597662094
-4336.41421,-0.4024506812
4692.512947,0.3385408781
177.1167926,-0.01718804606
-7496.792707,-0.5971405608
-6203.491894,-0.4914844019
-3775.441189,-0.3328781319
650.7228914,0.04278144353
190.2351364,0.0005038102189
-16056.4873,-1.337437409
5737.838932,0.4350935018
-6486.66017,-0.5616866203
-15057.12292,-1.243708577
-8839.786564,-0.7133583522
-4749.086649,-0.3961526483
-10711.96361,-0.844447534
550.2231952,0.05648856893
-8089.672337,-0.6783346894
-15920.67531,-1.300744092
-5293.681997,-0.4234050877
-7896.795973,-0.6838220854
-1979.729849,-0.1627400928
-3926.707903,-0.3222674281
-7822.884724,-0.6394074569
3114.629716,0.2672809199
-5888.829321,-0.4862404995
-17253.45114,-1.395431936
-16497.75179,-1.356354305
-13758.0182,-1.126864482
-11264.65139,-0.9146008492
-7836.570254,-0.6744430579
-6981.874139,-0.5645700109
-17724.10268,-1.427149415
-7844.940395,-0.6468873243
-1316.472551,-0.1132435489
-3729.370868,-0.2829144804
0.4276962632,8.827564628e-06
-1032.889209,-0.09717266235
-10352.51487,-0.8081785228
-3616.80727,-0.2838061022
-7891.166177,-0.6353716005
-7717.633408,-0.6285685265
-9002.906542,-0.7380787705
-16725.98822,-1.365997453
-8026.454449,-0.600458034
-2811.36271,-0.2711158302
-12784.28011,-1.034361958
-8753.437026,-0.6947165088
-6082.213169,-0.5387963864
-4078.666268,-0.2945976465
-11182.13926,-0.8934253811
-1743.320543,-0.1441895264
-7997.733742,-0.6972063276
-10253.58442,-0.8031933424
-7175.301252,-0.5534663143
-8377.705256,-0.6714506192
-4577.587118,-0.3736837201
-10977.15741,-0.8813953328
-5007.991454,-0.4125301186
534.9250961,0.04806877957
-2584.688102,-0.2274815493
-7559.466523,-0.6157337369
-7677.079861,-0.5988857396
-4976.425274,-0.4056934006
-12381.51413,-1.041908651
-23759.752,-1.987232516
-24262.92245,-2.021592665
-21582.63106,-1.758969196
-14759.68439,-1.198003621
-7394.807837,-0.6408226813
6508.929555,0.4948960198
-12714.22237,-1.017224801
-10007.2224,-0.841505062
-3621.179783,-0.3737382294
692.438658,0.02991813261
-14626.36236,-1.252736772
-8698.733253,-0.7169014691
-1476.412398,-0.1170845274
-12727.85064,-1.032253979
-4622.071065,-0.3454432328
1229.727788,0.08034743713
633.4118019,0.09289535665
-8775.252773,-0.6675627188
8972.790595,0.7556038339
-8204.172121,-0.6465978422
-6330.17709,-0.5060263295
-3302.01986,-0.247505068
-22244.90959,-1.80025081
-3114.519879,-0.2703042467
3415.60612,0.3114837218
-122.4282265,-0.008188816328
-5091.817086,-0.387827426
-10076.16316,-0.8517877351
-9598.703806,-0.8091103526
-10903.04855,-0.8621787674
-5693.802658,-0.4694190019
-10186.24945,-0.8311862792
-6151.639623,-0.5163854836
-5089.974121,-0.4808766908
-10421.91405,-0.860856268
-1473.821598,-0.1255050145
-11917.0992,-0.9790329702
-104.3106775,-0.01764187376
-8053.34328,-0.6809403291
-13855.32832,-1.10657039
-18087.5332,-1.454869784
-24508.54145,-2.016276692
-25181.73224,-2.068196335
-22144.25025,-1.784277474
-12574.98714,-1.029991378
651.3755096,0.07495317658
2316.359311,0.2024174302
1249.67823,0.06827124372
289.260401,0.003307583129
1740.93517,0.09498816293
-6193.263157,-0.5096931874
-2227.466989,-0.2260901376
-10042.69405,-0.8223810181
-9292.002003,-0.7181841823
-5573.97055,-0.4312544257
-15534.606,-1.256586959
-10055.41269,-0.8175941504
-5194.767336,-0.3945538171
-7743.38352,-0.6126019729
630.0364703,0.04267792078
-7344.80926,-0.5757731736
-12943.53824,-1.050444907
-449.6243902,-0.01334842538
-3732.16954,-0.3379332381
3639.7177,0.3406423247
-4536.085672,-0.3313471042
-22540.65542,-1.836163892
-4943.920607,-0.4308437386
-267.8619367,-0.04733439238
3386.555906,0.2483813332
-31681.06883,-2.506057368
-29586.15707,-2.354178422
-9741.300038,-0.7958896273
6249.081512,0.5337410003
4624.705734,0.3469286732
7584.536099,0.5982588876
-6904.661963,-0.6019192353
-11049.47383,-0.874670671
-7288.131197,-0.5946261013
-7322.09152,-0.5845470855
-15213.73024,-1.175540723
-12209.19245,-0.9278030903
-12418.05608,-0.9594602635
-5820.969968,-0.460014117
-690.1522485,-0.0355795587
-4568.677398,-0.3458053291
-1269.275255,-0.05386151839
-7552.389945,-0.5663602866
-12478.52479,-0.9275602199
-8147.3284,-0.6097062512
-3210.37886,-0.2231814867
-14350.90067,-1.067664823
821.4048421,0.07227770496
524.225289,0.02759848543
-2429.808706,-0.1730392254
-4735.335671,-0.3900728274
618.8517325,0.02629823138
-787.5046701,-0.02705706373
-18037.65217,-1.376901924
-6282.194669,-0.5036046945
-7046.818763,-0.4917467178
-9388.570604,-0.7426176946
-5022.93182,-0.4109829595
8935.327517,0.6842724023
-10383.56522,-0.7910998658
-13506.91122,-1.005521291
-20085.96237,-1.510846901
-14665.70789,-1.116242553
-21375.07634,-1.639451537
-6773.303032,-0.5418269587
-3701.81143,-0.296536938
-9852.331375,-0.7387083821
-11483.87519,-0.8495495092
-8947.387919,-0.6926072672
-5425.115819,-0.3964840226
-2945.535365,-0.2096453552
-3915.872273,-0.2812011499
-17153.15468,-1.303072255
-10399.12564,-0.8131021012
-31081.03124,-2.370802945
-32978.89276,-2.507356618
-4774.589805,-0.429197255
-10211.98365,-0.7657479512
-8892.048918,-0.6903114812
-16508.41557,-1.25442067
-5113.75911,-0.4080224279
-3682.974625,-0.303376555
-3099.677348,-0.2324514435
-9441.603747,-0.707836929
-6292.812449,-0.4684768488
-7583.740103,-0.5861935768
-1366.877,-0.1038884849
-7367.851507,-0.5791496803
5119.449646,0.4039042175
-2866.620399,-0.2321108874
14278.37523,1.099566163
1936.807722,0.2111916424
-22438.4897,-1.687485757
-6371.502996,-0.4902584757
10499.55293,0.8166554557
-4191.988956,-0.3142769903
9149.432033,0.7217481299
-7628.088911,-0.5775625019
-1174.004248,-0.0998260564
6184.449732,0.4666067947
2321.636585,0.1809988313
-11926.98978,-0.902888423
-12788.85881,-0.9856807708
3081.045473,0.2224556473
-17948.23422,-1.371178173
-11954.97209,-0.9193343205
2232.647883,0.1546040595
-4177.438193,-0.321951651
-3551.240269,-0.2602507505
-9172.561018,-0.7041491955
-12688.13408,-0.9703850864
-5196.41195,-0.3622288174
-8188.590481,-0.6182209186
-19258.64417,-1.47785908
-11820.03178,-0.9437475017
-21714.07659,-1.735092421
-11538.45986,-0.942694215
-8776.461395,-0.6731943073
-1570.353187,-0.1332413006
64.9723273,-0.03728171878
759.5200779,0.04611369699
-2937.14929,-0.2451716812
-12012.53619,-0.9414418128
2607.565551,0.2255478525
-7247.981084,-0.5724182702
1969.604146,0.1463450702
-6248.338132,-0.5229379504
-7456.998507,-0.5714326377
-9247.65478,-0.7544831379
-13885.92799,-1.095444507
-8303.316595,-0.6610405566
-4146.76183,-0.2966786766
-11042.64123,-0.8938200109
-4342.734343,-0.328662862
-9110.094709,-0.7058083786
-4634.748003,-0.361854001
-5544.795613,-0.4650615434
-4167.751553,-0.332259376
5835.487795,0.4274829751
440.2005296,0.009125801191
12146.72341,0.9045625351
2105.322585,0.1558551496
14247.23885,1.088231142
9252.604251,0.7287620773
-3416.091281,-0.285318979
-1267.232817,-0.1030121539
3404.783878,0.2988983211
642.4036594,0.08075110218
-2639.393323,-0.2012145217
4187.792431,0.3217359861
-4049.420211,-0.3078218592
1502.288748,0.06388489588
2044.429739,0.09333025453
