"amygdala_harvard_bin50_cope","amygdala_harvard_bin50_cope_scaled"
-371.0590402,-0.06720471355
1659.968912,0.2092047673
688.9459067,0.05951103026
1999.462674,0.2673946823
3275.340075,0.4571853395
-2525.691691,-0.3583914017
1099.165522,0.1668640059
2249.073826,0.3108397838
109.9934682,0.01570691054
-472.2741759,-0.06517044216
2456.158452,0.3659272232
1446.881542,0.1953749843
-994.8397234,-0.13934614
-1773.263375,-0.247239491
899.3000573,0.1207284906
614.8706044,0.08038403626
-1363.275063,-0.1991906086
3824.961887,0.5507001489
1201.938047,0.1928772068
-608.2774964,-0.09325584993
-2169.002951,-0.2798563067
-1078.560773,-0.150568585
-591.921406,-0.07869227362
37.75982874,0.001928478544
-5154.209166,-0.7523940242
-4585.939066,-0.6647282807
-5496.415486,-0.7937474322
-2315.436453,-0.3215368701
-1279.210639,-0.1741850748
-1225.389676,-0.1549146222
-1554.800083,-0.2267081911
-553.5864334,-0.08825683665
-2384.74797,-0.3451673271
-1626.888519,-0.2212530769
-911.4788687,-0.136346129
-2479.183785,-0.3530573796
-735.6393835,-0.1192726132
-2114.363171,-0.3305815504
-1999.786588,-0.2790871443
-1479.086359,-0.2278294948
-65.43256307,-0.01074641493
-5296.34738,-0.7582691775
2086.97988,0.3187539451
-4055.261372,-0.6115924861
552.7043549,0.06197499674
-3164.232998,-0.4365260788
-7712.518682,-1.126054036
1801.220068,0.2532163016
3924.710221,0.5578717479
1084.426985,0.1427240756
3373.454805,0.475667499
400.6949387,0.08192303373
-2599.598653,-0.3763677886
-1811.06357,-0.261808444
-1476.527468,-0.205917103
-3585.684026,-0.5146021662
-1081.959727,-0.1549725997
873.3579486,0.12286469
316.077513,0.04350515189
-1560.722292,-0.1869260163
-1808.281798,-0.2695041072
-3463.186466,-0.4847494478
-284.9051993,-0.03958685739
-4396.172041,-0.5751873499
-4846.116776,-0.6418512725
-3236.649593,-0.4542842013
-1978.619803,-0.2834265721
-537.0464778,-0.08243078054
-1759.124243,-0.2735221418
-438.7592152,-0.05878104229
-100.2110269,-0.002235604544
6322.252427,0.8889524313
7310.939488,1.037178176
6770.106127,0.9712829614
2468.920203,0.3379331325
1157.769787,0.1510056415
1593.870595,0.2069308942
-1875.255309,-0.2890335972
-1545.426621,-0.2166758653
-3315.316642,-0.4901274174
