"IPC_cope","IPC_cope_scaled"
22874.75681,1.660609904
-7644.833776,-1.204781942
7232.961165,-0.06043818276
8933.070272,-0.8335185054
14364.67557,-0.05294147335
6430.591052,-1.288928795
27861.49657,6.16933134
6756.07795,3.894795953
8019.386873,3.231898326
5927.260487,0.5373300472
9696.144033,0.8801167225
-2356.854936,0.4972224762
21342.53948,2.061073197
-1152.861034,-0.6337461741
-1997.6749,-0.5724663418
-537.6637977,-0.8100960071
5320.212213,0.09787160994
-5419.487236,-1.496124655
16010.73881,1.215042999
897.4354091,-0.03077161086
7669.576907,0.7497155873
-5886.25368,1.086319369
-6091.657371,0.007629091454
-10328.03351,-0.3480210004
11205.66687,1.325199587
9776.653858,1.250647755
-12650.66076,-0.6651619253
-9064.008749,-0.517934977
-9724.421333,-0.6144746986
-6667.766234,-0.2704347845
-4506.431015,-0.1687375417
-1967.895758,-0.06355678456
-863.7374824,-0.1302614061
-6499.933813,-0.9305016534
-1907.303606,-0.3365484898
3808.422019,0.4987992148
-2211.111858,-0.0936720117
-2661.609085,0.07293476142
-8189.321502,-0.8184767267
1416.143804,0.5067603113
1380.771266,0.2641564663
-7025.155213,-0.5413178705
-2056.194842,-0.09483177427
1332.666884,0.1394103974
2135.252408,-0.1353932635
5589.761904,0.7798555779
-4423.518156,-0.2093263763
-7060.514154,-0.6754524543
8126.844363,0.6486714966
2814.465988,0.4454888472
-1327.973293,-0.415002407
-3408.611105,-0.1057983289
8734.245058,0.8469745119
2517.124912,0.1928819205
-1268.201881,0.06123923762
-5385.061169,-0.7802678931
1990.355849,0.3485377871
-3342.419293,-0.2462256829
2516.488577,0.3465122761
2128.076695,0.1341563557
-1665.730608,-0.1227331123
-4083.880027,-0.3144961724
2507.342268,0.08507278412
-1245.681058,-0.1774551918
-1184.824302,-0.02412041283
-4445.692706,-0.3041117458
-5730.848514,-0.4143466713
-7766.476885,-0.7248965934
-11123.98462,-0.54737688
-6538.718711,-0.3641521112
-8356.88889,-0.1974692221
-8504.941176,-0.0718641307
3207.693946,0.4607138767
-5617.6528,-0.543642801
-11923.77866,-0.6562762121
-1624.206726,-0.1010854081
-7111.878299,-0.556825879
-210.5406999,-0.05871913665
-863.0949566,-0.2695600672
-1579.348553,-0.1458176592
-2601.973709,-0.1424060068
-5019.767047,-0.2193981992
-7800.78576,-0.6397641386
-1841.791725,0.2393032277
-3516.508174,-0.1026456475
-15801.79497,-1.204389354
-8474.881805,-0.602034108
5710.803647,0.5744439297
-7766.807023,-0.4318572362
-6618.751476,-0.6349768546
841.2939478,0.1719946143
-9180.382972,-0.7253329973
-4414.697568,-0.2413996913
