"dACC_cope","dACC_cope_scaled"
12810.97544,1.309203245
-23734.10632,-2.294075844
-20261.42974,-2.103359049
-17948.61192,-1.863472324
-10308.35849,-0.9687543343
-10324.92604,-1.024664065
-2012.99535,-0.07179971226
3895.527934,0.5309410413
-5012.476281,-0.500433126
-1107.006707,-0.01780430758
-747.8646454,0.02494084631
-2537.524212,-0.308707089
816.1501195,-0.0175407791
-2917.971704,-0.3561017473
8357.87391,0.84523219
2117.25076,0.3258487587
-6154.42387,-0.7776445628
-5257.068077,-0.6424625119
2545.504086,0.3481591101
5447.94869,0.6631108485
3882.771066,0.4753159497
-3834.688778,-0.3740569084
-4493.245171,-0.5624360583
3117.977257,0.3616960926
3520.881052,0.2888885022
6534.902326,0.8216248269
-3946.306033,-0.2782567858
6226.340694,0.7279375459
-2950.922013,-0.3153886485
-7712.70545,-0.8573675469
-5346.157777,-0.5679203192
68.61846787,0.08107544706
-6374.865733,-0.6429481081
1305.86462,0.08499261888
-1028.701854,0.01249881888
-4879.232335,-0.39057345
-6731.750941,-0.6483742194
-574.1559352,0.1341872618
-2460.007475,-0.2157139933
614.6712705,0.1179678348
-3023.773891,-0.1316462782
-5012.668198,-0.3196560539
-12983.18137,-1.310951728
-17431.2596,-1.929850594
-13396.34925,-1.397276345
-11285.40244,-1.18730212
-6753.256343,-0.7358364149
-3026.530616,-0.2733669839
-8608.183828,-0.9490484149
-8065.248269,-1.057952234
-6370.054153,-0.7483750677
-3812.246541,-0.4874860383
431.8769099,0.07228643115
2241.80463,0.2192820902
-1071.671369,-0.05597321307
-3559.942106,-0.316003173
-1942.83459,-0.2381342174
-5573.643494,-0.6911034559
-5163.920662,-0.5784768578
-2878.816468,-0.2630261951
-12511.85438,-1.55865817
-4904.337481,-0.4852032128
447.6922741,0.2306741586
-6524.237215,-0.8410391502
-7596.361246,-0.9658149837
-543.722439,0.04168146028
-5994.399928,-0.7719283919
-2842.387277,-0.3043872674
-549.5066838,0.02086473177
-1892.475328,-0.01569352357
-4057.994561,-0.4950485294
-4568.440744,-0.5680209064
-9409.569672,-1.192076727
-3633.125522,-0.375075008
-4142.75713,-0.4633694323
1102.844805,0.2513192296
559.1382817,0.1291705705
-92.61627765,0.03971500114
-2039.25161,-0.05175742021
-5467.970598,-0.6807222381
-2772.412585,-0.2152588678
-23489.96567,-2.216405953
-24426.52635,-2.467215419
-22372.88957,-2.246789136
-21693.2612,-2.252889813
-10671.46896,-1.10401968
-1286.791213,-0.07835295088
7127.808152,0.9756064516
-5531.559548,-0.6075938131
-975.0509535,-0.01576231375
764.1242509,0.09464799519
7185.290138,0.9365310958
-2911.77524,-0.1715786045
-5695.574076,-0.6566801673
-2672.075906,-0.3496851731
-8433.431032,-1.035973863
-7235.375992,-0.8734788138
800.6754693,0.0103099856
